Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite MOZ-10510,Chrome 128.0.0.0,,,30-08-2024 19:31:32,30-08-2024 19:51:33,20m - 0.916s,FAILED
,,,,,,,
Test Cases/MOZ-10510/TC10_MOZ_11451 Display of Refundable Amount and FOP in the Grid,Chrome 128.0.0.0,,,30-08-2024 19:31:33,30-08-2024 19:33:49,2m - 16.343s,FAILED
"requestIdValue = ""O062400001""",Chrome 128.0.0.0,,,30-08-2024 19:31:34,30-08-2024 19:31:34,0.006s,PASSED
"sqlQuery = ""select * from bdmozart.md_rfnd_local_settlement where idrequest = 'O062400001'""",Chrome 128.0.0.0,,,30-08-2024 19:31:34,30-08-2024 19:31:34,0.003s,PASSED
"fop_types_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""fop_types"", 1)",Chrome 128.0.0.0,,,30-08-2024 19:31:34,30-08-2024 19:31:51,17.428s,PASSED
"paid_amount_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""balanceamounttotal"", 1)",Chrome 128.0.0.0,,,30-08-2024 19:31:51,30-08-2024 19:32:11,19.497s,PASSED
value = paid_amount_dbValue,Chrome 128.0.0.0,,,30-08-2024 19:32:11,30-08-2024 19:32:11,0.004s,PASSED
doubleValue = Double.parseDouble(value),Chrome 128.0.0.0,,,30-08-2024 19:32:11,30-08-2024 19:32:11,0.021s,PASSED
paid_amount_dbValue_int = doubleValue,Chrome 128.0.0.0,,,30-08-2024 19:32:11,30-08-2024 19:32:11,0.003s,PASSED
paid_amount_dbValue = paid_amount_dbValue_int.toString(),Chrome 128.0.0.0,,,30-08-2024 19:32:11,30-08-2024 19:32:11,0.007s,PASSED
out.println(paid_amount_dbValue),Chrome 128.0.0.0,,,30-08-2024 19:32:11,30-08-2024 19:32:11,0.053s,PASSED
demoPackage.MozartLogin.mozartLoginWithUser(),Chrome 128.0.0.0,,,30-08-2024 19:32:11,30-08-2024 19:32:34,23.081s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,30-08-2024 19:32:34,30-08-2024 19:33:15,40.819s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,30-08-2024 19:33:15,30-08-2024 19:33:49,34.427s,FAILED
,,,,,,,
Test Cases/MOZ-10510/TC 9_MOZ_11450 Verifies that the internal configuration in the database is correctly set up to define the form of payments visible in the Local Settlements module,Chrome 128.0.0.0,,,30-08-2024 19:33:49,30-08-2024 19:36:37,2m - 47.904s,FAILED
"Table_md_rfnd_local_settlement = database.DatabaseUtils.checkTableExists(""md_rfnd_local_settlement"")",Chrome 128.0.0.0,,,30-08-2024 19:33:50,30-08-2024 19:33:55,5.759s,PASSED
"verifyEqual(Table_md_rfnd_local_settlement, true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 19:33:55,30-08-2024 19:33:56,0.101s,PASSED
"Column_paid_locally = database.DatabaseUtils.checkColumnExist(""mc_fop_types"", ""paid_locally"")",Chrome 128.0.0.0,,,30-08-2024 19:33:56,30-08-2024 19:34:00,4.299s,PASSED
