Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite MOZ-10510,Chrome 128.0.0.0,,,30-08-2024 20:06:15,30-08-2024 20:21:45,15m - 30.333s,FAILED
,,,,,,,
Test Cases/MOZ-10510/TC10_MOZ_11451 Display of Refundable Amount and FOP in the Grid,Chrome 128.0.0.0,,,30-08-2024 20:06:15,30-08-2024 20:07:43,1m - 27.504s,PASSED
"requestIdValue = ""O062400001""",Chrome 128.0.0.0,,,30-08-2024 20:06:16,30-08-2024 20:06:16,0.006s,PASSED
"sqlQuery = ""select * from bdmozart.md_rfnd_local_settlement where idrequest = 'O062400001'""",Chrome 128.0.0.0,,,30-08-2024 20:06:16,30-08-2024 20:06:16,0.006s,PASSED
"fop_types_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""fop_types"", 1)",Chrome 128.0.0.0,,,30-08-2024 20:06:16,30-08-2024 20:06:22,5.537s,PASSED
"paid_amount_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""balanceamounttotal"", 1)",Chrome 128.0.0.0,,,30-08-2024 20:06:22,30-08-2024 20:06:26,4.197s,PASSED
value = paid_amount_dbValue,Chrome 128.0.0.0,,,30-08-2024 20:06:26,30-08-2024 20:06:26,0.003s,PASSED
doubleValue = Double.parseDouble(value),Chrome 128.0.0.0,,,30-08-2024 20:06:26,30-08-2024 20:06:26,0.018s,PASSED
paid_amount_dbValue_int = doubleValue,Chrome 128.0.0.0,,,30-08-2024 20:06:26,30-08-2024 20:06:26,0.003s,PASSED
paid_amount_dbValue = paid_amount_dbValue_int.toString(),Chrome 128.0.0.0,,,30-08-2024 20:06:26,30-08-2024 20:06:26,0.008s,PASSED
out.println(paid_amount_dbValue),Chrome 128.0.0.0,,,30-08-2024 20:06:26,30-08-2024 20:06:26,0.054s,PASSED
demoPackage.MozartLogin.LoginWithChromeForEK(),Chrome 128.0.0.0,,,30-08-2024 20:06:26,30-08-2024 20:07:14,47.706s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,30-08-2024 20:07:14,30-08-2024 20:07:14,0.629s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,30-08-2024 20:07:14,30-08-2024 20:07:24,9.557s,PASSED
dynamicTestObject = new com.kms.katalon.core.testobject.TestObject(),Chrome 128.0.0.0,,,30-08-2024 20:07:24,30-08-2024 20:07:24,0.034s,PASSED
refresh(),Chrome 128.0.0.0,,,30-08-2024 20:07:24,30-08-2024 20:07:26,1.900s,PASSED
"listOfRequestIds = findWebElements(findTestObject(""Object Repository/EK_Objects/Page_Mozart - LocalSettlements/getListOfRequestIdFromGrid""), 10)",Chrome 128.0.0.0,,,30-08-2024 20:07:26,30-08-2024 20:07:27,1.691s,PASSED
