Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
loginSuite2,Firefox 127.0,,,23-09-2024 17:57:30,23-09-2024 17:58:57,1m - 27.095s,PASSED
,,,,,,,
Test Cases/MOZ-99999/login1,Firefox 127.0,,,23-09-2024 17:57:37,23-09-2024 17:58:18,41.350s,PASSED
mozartLogin.Login.launchBrowser(),Firefox 127.0,,,23-09-2024 17:57:37,23-09-2024 17:58:18,41.299s,PASSED
,,,,,,,
Test Cases/MOZ-99999/login2,Firefox 127.0,,,23-09-2024 17:58:18,23-09-2024 17:58:57,39.324s,PASSED
mozartLogin.Login.launchBrowser(),Firefox 127.0,,,23-09-2024 17:58:18,23-09-2024 17:58:57,39.295s,PASSED
