Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite MOZ-10510,Chrome 128.0.0.0,,,28-08-2024 19:20:37,28-08-2024 19:33:00,12m - 23.276s,FAILED
,,,,,,,
Test Cases/MOZ-10510/TC10_MOZ_11451 Display of Refundable Amount and FOP in the Grid,Chrome 128.0.0.0,,,28-08-2024 19:20:37,28-08-2024 19:22:08,1m - 31.265s,PASSED
"requestIdValue = ""O062400001""",Chrome 128.0.0.0,,,28-08-2024 19:20:38,28-08-2024 19:20:38,0.008s,PASSED
"sqlQuery = ""select * from bdmozart.md_rfnd_local_settlement where idrequest = 'O062400001'""",Chrome 128.0.0.0,,,28-08-2024 19:20:38,28-08-2024 19:20:38,0.003s,PASSED
"fop_types_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""fop_types"", 1)",Chrome 128.0.0.0,,,28-08-2024 19:20:38,28-08-2024 19:20:45,6.592s,PASSED
"paid_amount_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""balanceamounttotal"", 1)",Chrome 128.0.0.0,,,28-08-2024 19:20:45,28-08-2024 19:20:49,4.481s,PASSED
value = paid_amount_dbValue,Chrome 128.0.0.0,,,28-08-2024 19:20:49,28-08-2024 19:20:49,0.004s,PASSED
doubleValue = Double.parseDouble(value),Chrome 128.0.0.0,,,28-08-2024 19:20:49,28-08-2024 19:20:49,0.036s,PASSED
paid_amount_dbValue_int = doubleValue,Chrome 128.0.0.0,,,28-08-2024 19:20:49,28-08-2024 19:20:49,0.003s,PASSED
paid_amount_dbValue = paid_amount_dbValue_int.toString(),Chrome 128.0.0.0,,,28-08-2024 19:20:49,28-08-2024 19:20:49,0.013s,PASSED
out.println(paid_amount_dbValue),Chrome 128.0.0.0,,,28-08-2024 19:20:49,28-08-2024 19:20:49,0.053s,PASSED
demoPackage.MozartLogin.mozartLoginWithUser(),Chrome 128.0.0.0,,,28-08-2024 19:20:49,28-08-2024 19:21:20,31.081s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,28-08-2024 19:21:20,28-08-2024 19:21:39,18.261s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,28-08-2024 19:21:39,28-08-2024 19:21:42,3.223s,PASSED
dynamicTestObject = new com.kms.katalon.core.testobject.TestObject(),Chrome 128.0.0.0,,,28-08-2024 19:21:42,28-08-2024 19:21:42,0.035s,PASSED
refresh(),Chrome 128.0.0.0,,,28-08-2024 19:21:42,28-08-2024 19:21:47,4.778s,PASSED
"listOfRequestIds = findWebElements(findTestObject(""Object Repository/EK_Objects/Page_Mozart - LocalSettlements/getListOfRequestIdFromGrid""), 10)",Chrome 128.0.0.0,,,28-08-2024 19:21:47,28-08-2024 19:21:50,3.048s,PASSED
refundAmount_web = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,28-08-2024 19:21:50,28-08-2024 19:21:50,0.004s,PASSED
refundFopPaidLocally_web = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,28-08-2024 19:21:50,28-08-2024 19:21:50,0.003s,PASSED
"for ([row = 1, row <= listOfRequestIds.size(), (row++)])",Chrome 128.0.0.0,,,28-08-2024 19:21:50,28-08-2024 19:22:08,18.018s,PASSED
"verifyMatch(refundFopPaidLocally_web, fop_types_dbValue, true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,28-08-2024 19:22:08,28-08-2024 19:22:08,0.103s,PASSED
"verifyMatch(refundAmount_web, paid_amount_dbValue, true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,28-08-2024 19:22:08,28-08-2024 19:22:08,0.004s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,28-08-2024 19:22:08,28-08-2024 19:22:08,0.575s,PASSED
,,,,,,,
Test Cases/MOZ-10510/TC 9_MOZ_11450 Verifies that the internal configuration in the database is correctly set up to define the form of payments visible in the Local Settlements module,Chrome 128.0.0.0,,,28-08-2024 19:22:08,28-08-2024 19:23:48,1m - 39.172s,PASSED
"Table_md_rfnd_local_settlement = database.DatabaseUtils.checkTableExists(""md_rfnd_local_settlement"")",Chrome 128.0.0.0,,,28-08-2024 19:22:09,28-08-2024 19:22:17,7.574s,PASSED
"verifyEqual(Table_md_rfnd_local_settlement, true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,28-08-2024 19:22:17,28-08-2024 19:22:17,0.031s,PASSED
"Column_paid_locally = database.DatabaseUtils.checkColumnExist(""mc_fop_types"", ""paid_locally"")",Chrome 128.0.0.0,,,28-08-2024 19:22:17,28-08-2024 19:22:22,5.629s,PASSED
"verifyEqual(Column_paid_locally, true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,28-08-2024 19:22:22,28-08-2024 19:22:22,0.008s,PASSED
"rowCount = database.DatabaseUtils.getRowCount(""select * from bdmozart.mc_fop_types where paid_locally = 't'"")",Chrome 128.0.0.0,,,28-08-2024 19:22:22,28-08-2024 19:22:28,5.417s,PASSED
DataBaseEnableFopList = new java.util.ArrayList(),Chrome 128.0.0.0,,,28-08-2024 19:22:28,28-08-2024 19:22:28,0.003s,PASSED
FilterFopList = new java.util.ArrayList(),Chrome 128.0.0.0,,,28-08-2024 19:22:28,28-08-2024 19:22:28,0.003s,PASSED
"for ([i = 1, i <= rowCount, (i++)])",Chrome 128.0.0.0,,,28-08-2024 19:22:28,28-08-2024 19:22:50,22.218s,PASSED
demoPackage.MozartLogin.mozartLoginWithUser(),Chrome 128.0.0.0,,,28-08-2024 19:22:50,28-08-2024 19:23:25,35.200s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,28-08-2024 19:23:25,28-08-2024 19:23:35,10.266s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,28-08-2024 19:23:35,28-08-2024 19:23:41,5.969s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/filter_button""))",Chrome 128.0.0.0,,,28-08-2024 19:23:41,28-08-2024 19:23:45,3.584s,PASSED
"click(findTestObject(""Object Repository/EK_Objects/Page_Mozart - LocalSettlements/textbox_filter_r2_c3""))",Chrome 128.0.0.0,,,28-08-2024 19:23:45,28-08-2024 19:23:45,0.400s,PASSED
"FopValues = findWebElements(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/filter_RefundFopPaidLocally_values""), 10)",Chrome 128.0.0.0,,,28-08-2024 19:23:45,28-08-2024 19:23:46,0.485s,PASSED
dynamicTestObject = new com.kms.katalon.core.testobject.TestObject(),Chrome 128.0.0.0,,,28-08-2024 19:23:46,28-08-2024 19:23:46,0.003s,PASSED
println(FopValues.size()),Chrome 128.0.0.0,,,28-08-2024 19:23:46,28-08-2024 19:23:46,0.004s,PASSED
"for ([row = 1, row <= FopValues.size(), (row++)])",Chrome 128.0.0.0,,,28-08-2024 19:23:46,28-08-2024 19:23:47,0.979s,PASSED
"verifyMatch(size().toString(), size().toString(), true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,28-08-2024 19:23:47,28-08-2024 19:23:47,0.008s,PASSED
uniqueFopValues = new java.util.HashSet(),Chrome 128.0.0.0,,,28-08-2024 19:23:47,28-08-2024 19:23:47,0.048s,PASSED
try,Chrome 128.0.0.0,,,28-08-2024 19:23:47,28-08-2024 19:23:47,0.018s,PASSED
webFopValues = new java.util.ArrayList(uniqueFopValues),Chrome 128.0.0.0,,,28-08-2024 19:23:47,28-08-2024 19:23:47,0.003s,PASSED
Collections.sort(webFopValues),Chrome 128.0.0.0,,,28-08-2024 19:23:47,28-08-2024 19:23:47,0.021s,PASSED
Collections.sort(DataBaseEnableFopList),Chrome 128.0.0.0,,,28-08-2024 19:23:47,28-08-2024 19:23:47,0.002s,PASSED
"for ([i = 0, i < DataBaseEnableFopList.size(), (i++)])",Chrome 128.0.0.0,,,28-08-2024 19:23:47,28-08-2024 19:23:47,0.024s,PASSED
utilityClass.CustomSoftAssert.assertAll(),Chrome 128.0.0.0,,,28-08-2024 19:23:47,28-08-2024 19:23:47,0.068s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,28-08-2024 19:23:47,28-08-2024 19:23:48,0.521s,PASSED
,,,,,,,
"Test Cases/MOZ-10510/TC 8_MOZ_11449 Verify the Availability of Group By,My Filters, and Download Options in the Local Settlements Module",Chrome 128.0.0.0,,,28-08-2024 19:23:48,28-08-2024 19:24:41,53.087s,PASSED
demoPackage.MozartLogin.mozartLoginWithUser(),Chrome 128.0.0.0,,,28-08-2024 19:23:48,28-08-2024 19:24:07,19.482s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,28-08-2024 19:24:07,28-08-2024 19:24:19,12.140s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,28-08-2024 19:24:19,28-08-2024 19:24:37,17.309s,PASSED
"verifyElementPresent(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/filter_button""), 5, STOP_ON_FAILURE)",Chrome 128.0.0.0,,,28-08-2024 19:24:37,28-08-2024 19:24:40,3.598s,PASSED
"verifyElementPresent(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/groupBy_button""), 5, STOP_ON_FAILURE)",Chrome 128.0.0.0,,,28-08-2024 19:24:40,28-08-2024 19:24:41,0.271s,PASSED
,,,,,,,
Test Cases/MOZ-10510/TC 7_MOZ_11448 Verify Grid Display in the Local Settlements Module,Chrome 128.0.0.0,,,28-08-2024 19:24:41,28-08-2024 19:25:55,1m - 14.225s,PASSED
demoPackage.MozartLogin.mozartLoginWithUser(),Chrome 128.0.0.0,,,28-08-2024 19:24:41,28-08-2024 19:25:32,51.513s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,28-08-2024 19:25:32,28-08-2024 19:25:45,12.013s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,28-08-2024 19:25:45,28-08-2024 19:25:47,2.876s,PASSED
"listOfHeaderColumns = findWebElements(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/filterTable_headers""), 10)",Chrome 128.0.0.0,,,28-08-2024 19:25:47,28-08-2024 19:25:54,6.275s,PASSED
println(listOfHeaderColumns.size()),Chrome 128.0.0.0,,,28-08-2024 19:25:54,28-08-2024 19:25:54,0.003s,PASSED
"elements = [""Request Id"", ""Processing Date (yyyy-mm-dd)"", ""Ticket Number"", ""Request Number"", ""Passenger Name"", ""Country"", ""Agent code"", ""Refund Amount"", ""Currency"", ""Refund FOP Paid Locally"", ""Reason""]",Chrome 128.0.0.0,,,28-08-2024 19:25:54,28-08-2024 19:25:54,0.002s,PASSED
"for ([i = 1, i < listOfHeaderColumns.size(), (i++)])",Chrome 128.0.0.0,,,28-08-2024 19:25:54,28-08-2024 19:25:54,0.647s,PASSED
utilityClass.CustomSoftAssert.assertAll(),Chrome 128.0.0.0,,,28-08-2024 19:25:54,28-08-2024 19:25:54,0.004s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,28-08-2024 19:25:54,28-08-2024 19:25:55,0.529s,PASSED
,,,,,,,
Test Cases/MOZ-10510/TC 6_MOZ_11447 Verify Default Filtering Values in the Local Settlements Module,Chrome 128.0.0.0,,,28-08-2024 19:25:55,28-08-2024 19:26:51,55.778s,PASSED
demoPackage.MozartLogin.mozartLoginWithUser(),Chrome 128.0.0.0,,,28-08-2024 19:25:55,28-08-2024 19:26:17,21.560s,PASSED
