Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite MOZ-10510,,,,20-10-2024 16:33:10,20-10-2024 16:34:54,1m - 44.502s,ERROR
,,,,,,,
Test Cases/MOZ-10510/TC10_MOZ_11451 Display of Refundable Amount and FOP in the Grid,,,,20-10-2024 16:33:11,20-10-2024 16:33:32,20.450s,FAILED
"requestIdValue = ""O062400001""",,,,20-10-2024 16:33:13,20-10-2024 16:33:13,0.005s,PASSED
"sqlQuery = ""select * from bdmozart.md_rfnd_local_settlement where idrequest = 'O062400001'""",,,,20-10-2024 16:33:13,20-10-2024 16:33:13,0.004s,PASSED
"fop_types_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""fop_types"", 1)",,,,20-10-2024 16:33:13,20-10-2024 16:33:20,7.396s,PASSED
"paid_amount_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""balanceamounttotal"", 1)",,,,20-10-2024 16:33:20,20-10-2024 16:33:25,4.740s,PASSED
value = paid_amount_dbValue,,,,20-10-2024 16:33:25,20-10-2024 16:33:25,0.005s,PASSED
doubleValue = Double.parseDouble(value),,,,20-10-2024 16:33:25,20-10-2024 16:33:25,0.025s,PASSED
paid_amount_dbValue_int = doubleValue,,,,20-10-2024 16:33:25,20-10-2024 16:33:25,0.004s,PASSED
paid_amount_dbValue = paid_amount_dbValue_int.toString(),,,,20-10-2024 16:33:25,20-10-2024 16:33:25,0.010s,PASSED
out.println(paid_amount_dbValue),,,,20-10-2024 16:33:25,20-10-2024 16:33:25,0.081s,PASSED
demoPackage.MozartLogin.LoginWithChromeForEK(),,,,20-10-2024 16:33:25,20-10-2024 16:33:32,6.583s,FAILED
,,,,,,,
Test Cases/MOZ-10510/TC 9_MOZ_11450 Verifies that the internal configuration in the database is correctly set up to define the form of payments visible in the Local Settlements module,,,,20-10-2024 16:33:32,20-10-2024 16:34:16,44.806s,FAILED
