Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite MOZ-10510,Chrome 128.0.0.0,,,30-08-2024 20:48:58,30-08-2024 21:02:30,13m - 31.967s,FAILED
,,,,,,,
Test Cases/MOZ-10510/TC10_MOZ_11451 Display of Refundable Amount and FOP in the Grid,Chrome 128.0.0.0,,,30-08-2024 20:48:59,30-08-2024 20:50:53,1m - 54.201s,PASSED
"requestIdValue = ""O062400001""",Chrome 128.0.0.0,,,30-08-2024 20:49:00,30-08-2024 20:49:00,0.006s,PASSED
"sqlQuery = ""select * from bdmozart.md_rfnd_local_settlement where idrequest = 'O062400001'""",Chrome 128.0.0.0,,,30-08-2024 20:49:00,30-08-2024 20:49:00,0.004s,PASSED
"fop_types_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""fop_types"", 1)",Chrome 128.0.0.0,,,30-08-2024 20:49:00,30-08-2024 20:49:06,6.036s,PASSED
"paid_amount_dbValue = database.DatabaseUtils.executeQuery(sqlQuery, ""balanceamounttotal"", 1)",Chrome 128.0.0.0,,,30-08-2024 20:49:06,30-08-2024 20:49:12,5.709s,PASSED
value = paid_amount_dbValue,Chrome 128.0.0.0,,,30-08-2024 20:49:12,30-08-2024 20:49:12,0.003s,PASSED
doubleValue = Double.parseDouble(value),Chrome 128.0.0.0,,,30-08-2024 20:49:12,30-08-2024 20:49:12,0.019s,PASSED
paid_amount_dbValue_int = doubleValue,Chrome 128.0.0.0,,,30-08-2024 20:49:12,30-08-2024 20:49:12,0.003s,PASSED
paid_amount_dbValue = paid_amount_dbValue_int.toString(),Chrome 128.0.0.0,,,30-08-2024 20:49:12,30-08-2024 20:49:12,0.008s,PASSED
out.println(paid_amount_dbValue),Chrome 128.0.0.0,,,30-08-2024 20:49:12,30-08-2024 20:49:12,0.054s,PASSED
demoPackage.MozartLogin.LoginWithChromeForEK(),Chrome 128.0.0.0,,,30-08-2024 20:49:12,30-08-2024 20:50:25,1m - 12.979s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,30-08-2024 20:50:25,30-08-2024 20:50:25,0.547s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,30-08-2024 20:50:25,30-08-2024 20:50:35,9.875s,PASSED
dynamicTestObject = new com.kms.katalon.core.testobject.TestObject(),Chrome 128.0.0.0,,,30-08-2024 20:50:35,30-08-2024 20:50:35,0.022s,PASSED
refresh(),Chrome 128.0.0.0,,,30-08-2024 20:50:35,30-08-2024 20:50:36,1.151s,PASSED
"listOfRequestIds = findWebElements(findTestObject(""Object Repository/EK_Objects/Page_Mozart - LocalSettlements/getListOfRequestIdFromGrid""), 10)",Chrome 128.0.0.0,,,30-08-2024 20:50:36,30-08-2024 20:50:38,1.779s,PASSED
refundAmount_web = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,30-08-2024 20:50:38,30-08-2024 20:50:38,0.002s,PASSED
refundFopPaidLocally_web = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,30-08-2024 20:50:38,30-08-2024 20:50:38,0.003s,PASSED
"for ([row = 1, row <= listOfRequestIds.size(), (row++)])",Chrome 128.0.0.0,,,30-08-2024 20:50:38,30-08-2024 20:50:52,14.095s,PASSED
"verifyMatch(refundFopPaidLocally_web, fop_types_dbValue, true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 20:50:52,30-08-2024 20:50:52,0.103s,PASSED
"verifyMatch(refundAmount_web, paid_amount_dbValue, true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 20:50:52,30-08-2024 20:50:52,0.011s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 20:50:52,30-08-2024 20:50:53,0.727s,PASSED
,,,,,,,
Test Cases/MOZ-10510/TC 9_MOZ_11450 Verifies that the internal configuration in the database is correctly set up to define the form of payments visible in the Local Settlements module,Chrome 128.0.0.0,,,30-08-2024 20:50:53,30-08-2024 20:52:34,1m - 41.297s,PASSED
"Table_md_rfnd_local_settlement = database.DatabaseUtils.checkTableExists(""md_rfnd_local_settlement"")",Chrome 128.0.0.0,,,30-08-2024 20:50:54,30-08-2024 20:51:00,6.421s,PASSED
"verifyEqual(Table_md_rfnd_local_settlement, true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 20:51:00,30-08-2024 20:51:00,0.032s,PASSED
"Column_paid_locally = database.DatabaseUtils.checkColumnExist(""mc_fop_types"", ""paid_locally"")",Chrome 128.0.0.0,,,30-08-2024 20:51:00,30-08-2024 20:51:05,4.506s,PASSED
"verifyEqual(Column_paid_locally, true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 20:51:05,30-08-2024 20:51:05,0.004s,PASSED
"rowCount = database.DatabaseUtils.getRowCount(""select * from bdmozart.mc_fop_types where paid_locally = 't'"")",Chrome 128.0.0.0,,,30-08-2024 20:51:05,30-08-2024 20:51:09,4.695s,PASSED
DataBaseEnableFopList = new java.util.ArrayList(),Chrome 128.0.0.0,,,30-08-2024 20:51:09,30-08-2024 20:51:09,0.002s,PASSED
FilterFopList = new java.util.ArrayList(),Chrome 128.0.0.0,,,30-08-2024 20:51:09,30-08-2024 20:51:09,0.002s,PASSED
"for ([i = 1, i <= rowCount, (i++)])",Chrome 128.0.0.0,,,30-08-2024 20:51:09,30-08-2024 20:51:25,15.139s,PASSED
demoPackage.MozartLogin.LoginWithChromeForEK(),Chrome 128.0.0.0,,,30-08-2024 20:51:25,30-08-2024 20:52:28,1m - 3.693s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,30-08-2024 20:52:28,30-08-2024 20:52:29,0.514s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,30-08-2024 20:52:29,30-08-2024 20:52:30,1.590s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/filter_button""))",Chrome 128.0.0.0,,,30-08-2024 20:52:30,30-08-2024 20:52:32,1.447s,PASSED
"click(findTestObject(""Object Repository/EK_Objects/Page_Mozart - LocalSettlements/textbox_filter_r2_c3""))",Chrome 128.0.0.0,,,30-08-2024 20:52:32,30-08-2024 20:52:32,0.378s,PASSED
"FopValues = findWebElements(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/filter_RefundFopPaidLocally_values""), 10)",Chrome 128.0.0.0,,,30-08-2024 20:52:32,30-08-2024 20:52:33,0.472s,PASSED
dynamicTestObject = new com.kms.katalon.core.testobject.TestObject(),Chrome 128.0.0.0,,,30-08-2024 20:52:33,30-08-2024 20:52:33,0.002s,PASSED
println(FopValues.size()),Chrome 128.0.0.0,,,30-08-2024 20:52:33,30-08-2024 20:52:33,0.003s,PASSED
"for ([row = 1, row <= FopValues.size(), (row++)])",Chrome 128.0.0.0,,,30-08-2024 20:52:33,30-08-2024 20:52:33,0.866s,PASSED
"verifyMatch(size().toString(), size().toString(), true, CONTINUE_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 20:52:33,30-08-2024 20:52:33,0.007s,PASSED
uniqueFopValues = new java.util.HashSet(),Chrome 128.0.0.0,,,30-08-2024 20:52:33,30-08-2024 20:52:34,0.033s,PASSED
try,Chrome 128.0.0.0,,,30-08-2024 20:52:34,30-08-2024 20:52:34,0.014s,PASSED
webFopValues = new java.util.ArrayList(uniqueFopValues),Chrome 128.0.0.0,,,30-08-2024 20:52:34,30-08-2024 20:52:34,0.002s,PASSED
Collections.sort(webFopValues),Chrome 128.0.0.0,,,30-08-2024 20:52:34,30-08-2024 20:52:34,0.023s,PASSED
Collections.sort(DataBaseEnableFopList),Chrome 128.0.0.0,,,30-08-2024 20:52:34,30-08-2024 20:52:34,0.002s,PASSED
"for ([i = 0, i < DataBaseEnableFopList.size(), (i++)])",Chrome 128.0.0.0,,,30-08-2024 20:52:34,30-08-2024 20:52:34,0.031s,PASSED
utilityClass.CustomSoftAssert.assertAll(),Chrome 128.0.0.0,,,30-08-2024 20:52:34,30-08-2024 20:52:34,0.077s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 20:52:34,30-08-2024 20:52:34,0.543s,PASSED
,,,,,,,
"Test Cases/MOZ-10510/TC 8_MOZ_11449 Verify the Availability of Group By,My Filters, and Download Options in the Local Settlements Module",Chrome 128.0.0.0,,,30-08-2024 20:52:34,30-08-2024 20:53:16,41.551s,PASSED
demoPackage.MozartLogin.LoginWithChromeForEK(),Chrome 128.0.0.0,,,30-08-2024 20:52:34,30-08-2024 20:53:11,36.459s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,30-08-2024 20:53:11,30-08-2024 20:53:11,0.525s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,30-08-2024 20:53:11,30-08-2024 20:53:14,2.381s,PASSED
"verifyElementPresent(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/filter_button""), 5, STOP_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 20:53:14,30-08-2024 20:53:16,1.663s,PASSED
"verifyElementPresent(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/groupBy_button""), 5, STOP_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 20:53:16,30-08-2024 20:53:16,0.256s,PASSED
,,,,,,,
Test Cases/MOZ-10510/TC 7_MOZ_11448 Verify Grid Display in the Local Settlements Module,Chrome 128.0.0.0,,,30-08-2024 20:53:16,30-08-2024 20:53:54,37.863s,PASSED
demoPackage.MozartLogin.LoginWithChromeForEK(),Chrome 128.0.0.0,,,30-08-2024 20:53:16,30-08-2024 20:53:49,32.398s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,30-08-2024 20:53:49,30-08-2024 20:53:49,0.535s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,30-08-2024 20:53:49,30-08-2024 20:53:51,2.143s,PASSED
"listOfHeaderColumns = findWebElements(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/filterTable_headers""), 10)",Chrome 128.0.0.0,,,30-08-2024 20:53:51,30-08-2024 20:53:53,1.319s,PASSED
println(listOfHeaderColumns.size()),Chrome 128.0.0.0,,,30-08-2024 20:53:53,30-08-2024 20:53:53,0.002s,PASSED
"elements = [""Request Id"", ""Processing Date (yyyy-mm-dd)"", ""Ticket Number"", ""Request Number"", ""Passenger Name"", ""Country"", ""Agent code"", ""Refund Amount"", ""Currency"", ""Refund FOP Paid Locally"", ""Reason""]",Chrome 128.0.0.0,,,30-08-2024 20:53:53,30-08-2024 20:53:53,0.001s,PASSED
"for ([i = 1, i < listOfHeaderColumns.size(), (i++)])",Chrome 128.0.0.0,,,30-08-2024 20:53:53,30-08-2024 20:53:53,0.438s,PASSED
utilityClass.CustomSoftAssert.assertAll(),Chrome 128.0.0.0,,,30-08-2024 20:53:53,30-08-2024 20:53:53,0.003s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 20:53:53,30-08-2024 20:53:54,0.604s,PASSED
,,,,,,,
Test Cases/MOZ-10510/TC 6_MOZ_11447 Verify Default Filtering Values in the Local Settlements Module,Chrome 128.0.0.0,,,30-08-2024 20:53:54,30-08-2024 20:56:01,2m - 6.992s,PASSED
demoPackage.MozartLogin.LoginWithChromeForEK(),Chrome 128.0.0.0,,,30-08-2024 20:53:54,30-08-2024 20:54:43,48.715s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,30-08-2024 20:54:43,30-08-2024 20:54:43,0.523s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,30-08-2024 20:54:43,30-08-2024 20:54:54,10.703s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/filter_button""))",Chrome 128.0.0.0,,,30-08-2024 20:54:54,30-08-2024 20:55:49,55.209s,PASSED
"verifyOptionSelectedByValue(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/select_filter_column_r1_c1""), ""date_processingdate"", false, 5)",Chrome 128.0.0.0,,,30-08-2024 20:55:49,30-08-2024 20:55:53,3.776s,PASSED
"verifyOptionSelectedByValue(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/select_filter_column_r2_c1""), ""select_request_fop_settlem"", false, 5)",Chrome 128.0.0.0,,,30-08-2024 20:55:53,30-08-2024 20:55:57,3.831s,PASSED
"verifyOptionSelectedByValue(findTestObject(""EK_Objects/Page_Mozart - LocalSettlements/select_filter_column_r3_c1""), ""select_ro_isocode_country"", false, 5)",Chrome 128.0.0.0,,,30-08-2024 20:55:57,30-08-2024 20:56:00,3.507s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 20:56:00,30-08-2024 20:56:01,0.505s,PASSED
,,,,,,,
Test Cases/MOZ-10510/TC 5_MOZ_11446 Verify Landing Page Layout and Filtering Area for the Local Settlements Module,Chrome 128.0.0.0,,,30-08-2024 20:56:01,30-08-2024 20:57:13,1m - 12.787s,FAILED
demoPackage.MozartLogin.LoginWithChromeForEK(),Chrome 128.0.0.0,,,30-08-2024 20:56:01,30-08-2024 20:56:53,51.919s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,30-08-2024 20:56:53,30-08-2024 20:56:53,0.621s,PASSED
"verifyElementPresent(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""), 2)",Chrome 128.0.0.0,,,30-08-2024 20:56:53,30-08-2024 20:56:54,0.251s,PASSED
"click(findTestObject(""Object Repository/EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""))",Chrome 128.0.0.0,,,30-08-2024 20:56:54,30-08-2024 20:56:57,3.241s,PASSED
"click(findTestObject(""Object Repository/EK_Objects/Page_Mozart - LocalSettlements/filter_button""))",Chrome 128.0.0.0,,,30-08-2024 20:56:57,30-08-2024 20:57:02,4.875s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/EK_Objects/Page_Mozart - LocalSettlements/compact_mode""), 10)",Chrome 128.0.0.0,,,30-08-2024 20:57:02,30-08-2024 20:57:02,0.675s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/EK_Objects/Page_Mozart - LocalSettlements/grouped""), 10)",Chrome 128.0.0.0,,,30-08-2024 20:57:02,30-08-2024 20:57:03,0.247s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/EK_Objects/Page_Mozart - LocalSettlements/show_exceptions""), 10)",Chrome 128.0.0.0,,,30-08-2024 20:57:03,30-08-2024 20:57:13,10.728s,FAILED
,,,,,,,
Test Cases/MOZ-10510/TC 4_MOZ_11445 Verify User Role other than the auditor or supervisor Access Levels for the Local Settlements Module,Chrome 128.0.0.0,,,30-08-2024 20:57:13,30-08-2024 20:58:36,1m - 22.790s,FAILED
"utilityClass.GenericMethods.selectRoles(MozartUser, ""Admin"")",Chrome 128.0.0.0,,,30-08-2024 20:57:14,30-08-2024 20:58:31,1m - 16.895s,PASSED
delay(1),Chrome 128.0.0.0,,,30-08-2024 20:58:31,30-08-2024 20:58:32,1.010s,PASSED
"click(findTestObject(""EK_Objects/Page_Mozart - Dashboard/a_Refunds""))",Chrome 128.0.0.0,,,30-08-2024 20:58:32,30-08-2024 20:58:33,1.246s,PASSED
"verifyElementPresent(findTestObject(""EK_Objects/Page_Mozart - Dashboard/Click_On_Local_Settlements""), 2)",Chrome 128.0.0.0,,,30-08-2024 20:58:33,30-08-2024 20:58:36,3.445s,FAILED
,,,,,,,
